Codigo Estacao,Nome,Latitude,Longitude,Prec_Acc
A801,PORTO ALEGRE - JARDIM BOTANICO,-30.053611110000002,-51.174722210000006,795.4
A802,RIO GRANDE,-32.07888888,-52.16777777,633
A803,SANTA MARIA,-29.72499999,-53.720555540000014,967.2
A804,SANTANA DO LIVRAMENTO,-30.75055555,-55.40138888,473
A805,SANTO AUGUSTO,-27.85444444,-53.79111110000001,631.4
A808,TORRES,-29.35027777,-49.733333330000015,350.2
A809,URUGUAIANA,-29.839999990000003,-57.08194442999999,323.2
A810,SANTA ROSA,-27.890555550000002,-54.47999999,627.4
A811,CANGUCU,-31.403333329999995,-52.70083333000001,615.2
A812,CACAPAVA DO SUL,-30.54527777,-53.46694443,775.8000000000001
A813,RIO PARDO,-29.872222209999997,-52.38194442999999,904.2
A826,ALEGRETE,-29.70916666,-55.52555554000001,484
A827,BAGE,-31.34777777,-54.01333333000001,509.2
A828,ERECHIM,-27.657777770000003,-52.305833330000006,635.4
A829,SAO JOSE DOS AUSENTES,-28.748611099999998,-50.057777769999994,89.8
A830,SAO BORJA,-28.650000000000002,-56.01638888,321
A831,QUARAI,-30.368578,-56.437115000000006,515.6
A832,SAO GABRIEL,-30.34138888,-54.31083333,684
A833,SANTIAGO,-29.191599,-54.885653,774
A834,TRAMANDAI,-30.010277770000002,-50.13583333000001,676.2
A836,JAGUARAO,-32.534722210000005,-53.375833320000005,692.4
A837,SOLEDADE,-28.859211000000002,-52.542387,1054.8
A838,CAMAQUA,-30.808055550000002,-51.834166659999994,382.6
A839,PASSO FUNDO,-28.22666666,-52.40361111,629.8
A840,BENTO GONCALVES,-29.164581000000002,-51.534202,1093.2
A844,LAGOA VERMELHA,-28.222381,-51.512845,518.6
A852,SAO LUIZ GONZAGA,-28.41722221,-54.962500000000006,491.4
A853,CRUZ ALTA,-28.60344,-53.673597,687.4
A854,FREDERICO WESTPHALEN,-27.39555555,-53.42944443,424
A856,PALMEIRA DAS MISSOES,-27.92027777,-53.31805554,702.4
A878,MOSTARDAS,-31.248333329999994,-50.90638888,0.4
A879,CANELA,-29.36888888,-50.82722221,1092.2
A880,VACARIA,-28.513611110000003,-50.88277777,709.4
A881,DOM PEDRITO,-31.002499999999998,-54.61805554000001,517.8
A882,TEUTONIA,-29.44916666,-51.82333332000001,738.6
A883,IBIRUBA,-28.65333333,-53.111944439999995,835
A884,CAMPO BOM,-29.674293000000002,-51.064042,849.4
A886,TUPANCIRETA,-29.089444439999998,-53.826666659999994,926.8
A887,CAPAO DO LEAO (PELOTAS),-31.8025,-52.40722222,572.4
A889,SAO VICENTE DO SUL,-29.702222219999996,-54.69444444,519.4
A893,ENCRUZILHADA DO SUL,-30.543055550000002,-52.52472221000001,54.8
A894,SERAFINA CORREA,-28.704722219999997,-51.87083332,991.8
A897,CAMBARA DO SUL,-29.04916666,-50.14972221000001,833.4
A899,Santa Vitoria do Palmar - Barra do Chui,-33.74222221000001,-53.372222210000004,423.4
B807,PORTO ALEGRE- BELEM NOVO,-30.1861111,-51.17805554000001,803.2
